series,season,number,title,director,writer,air_date,description
Bewitched,3,6,Endora Moves in for a Spell (Part 1),William Asher,Story by : Robert Riley CrutcherTeleplay by : Ruth Brooks Flippen,1966-10-20,"Endora is annoyed about Uncle Arthur's influence on Tabitha during his extended visit, so she zaps a house onto a nearby vacant lot across from the Stephenses' house to better keep an eye on him. The siblings zap and unzap the house from the lot. Samantha tries to use a little mortal logic to end the standoff. Also caught in the middle are a frightened Gladys Kravitz and the police, who try to understand how a house was built out of thin air on the empty lot. Paul Smith appears as a policeman.

Note: Filmed September 2, 1966; first episode featuring Sandra Gould as Gladys Kravitz."
Bewitched,3,7,Twitch or Treat (Part 2),William Asher,Robert Riley Crutcher & James S. Henerson,1966-10-27,"In the show's third Halloween episode, Endora zaps her house from the previous episode back to the vacant lot in order to hold a Halloween party there. Darrin is furious, but agrees to allow the party to be held at his house if she undoes the spell. Uncle Arthur insists on being invited to the party, and is joined by many mysterious guests including Boris (Barry Atwater), his feline companion, and Willie Mays. Gladys Kravitz again has the authorities investigate the strange goings on.

Note: Filmed September 12, 1966."
Bewitched,3,8,Dangerous Diaper Dan,William Asher,David Braverman & Bob Marcus,1966-11-03,"Darrin has been working hard on the Wright Pen campaign. So he and Larry are stunned when their competitor pitches the exact same campaign to Wright just an hour before them. Turns out Diaper Dan (Marty Ingels), the Stephenses' diaper service man, is also secretly under the employ of the A.J. Kimberly (Don Keefer) Advertising Agency. Dan has planted a microphone bug in Tabitha's rattle, so he can steal McMann & Tate's ideas and its clients. Samantha finds out about the rattle and teaches Dan a lesson.

Note: Filmed July 18, 1966."
Bewitched,3,9,"The Short, Happy Circuit of Aunt Clara",William Asher,Story by : Lee ErwinTeleplay by : Ed Jurist,1966-11-10,"Samantha and Darrin attend a business dinner at the Tates to make a pitch to potential client, MacElroy (Arthur Julian) Shoes. While babysitting Tabitha, Aunt Clara believes one of her spells has inadvertently blackened out the entire Eastern seaboard. She asks her old beau Octavius (Reginald Owen) to help turn them back on. He only manages to turn on the lights at Sam's house. Larry and Darrin bring MacElroy back to the house, where Octavius helps Darrin win the account.

Notes: Filmed July 25, 1966, this episode was inspired by the Northeast Blackout which occurred in November 1965. Title is a takeoff on The Short Happy Life of Francis Macomber by Ernest Hemingway."
Bewitched,3,10,I'd Rather Twitch Than Fight,R. Robert Rosenbaum,James S. Henerson,1966-11-17,"Darrin and Samantha have a fight over the fact that Samantha gave away his favorite sports jacket. They give each other unappealing gifts in an effort to make up for the fight, which causes them to bicker even more. When Larry suspects the couple is having trouble, he suggests to Darrin that he talk it over with a psychiatrist, while Endora insists that Samantha see one as well – none other than Sigmund Freud himself. Parley Baer and Norman Fell guest-star.

Note: Filmed August 25, 1966. Title is a play on Tareyton cigarettes' famous slogan, ""Us Tareyton smokers would rather fight than switch."""
Bewitched,3,11,Oedipus Hex,William Asher,David V. Robison & John L. Greene,1966-11-24,"Endora hexes a bowl of popcorn with a goof-off spell that ensnares Darrin, the milkman (Ned Glass), a television repairman (Paul Dooley), Larry, a policeman (Paul Smith), a client, and Samantha's entire fundraising committee. When Samantha finally figures out what Endora has done, Samantha tries to use it to her advantage. Queenie Leonard, Norma Varden and Helen Kleeb guest-star.

Note: Filmed August 11, 1966."
Bewitched,3,12,Sam's Spooky Chair,R. Robert Rosenbaum,Coslough Johnson,1966-12-01,"Samantha buys an antique chair, unaware that it is really a warlock (Roger Garrett) who had transformed himself long ago in Boston when Samantha rejected his affections. Samantha hosts a dinner party for clients of Darrin's, the Cosgroves. Mrs. Cosgrove falls in love with the chair and Sam gives it to her as a gift. Complications arise when the chair comes back to Samantha. Guest-stars: Howard Morton as the antique salesman, J. Pat O'Malley and Anne Seymour as Mr. and Mrs. Cosgrove.

Note: Filmed September 29, 1966."
Bewitched,3,13,My Friend Ben (Part 1),William Asher,James S. Henerson,1966-12-08,"Aunt Clara tries to conjure up an electrician to fix a broken lamp, but zaps up Benjamin Franklin. Larry Tate believes Ben is Darrin's campaign idea for Franklin Electronics. Franklin is astounded by the 20th century and wanders away, leaving the Stephenses to rescue him. Unfortunately, he gets arrested for stealing a fire engine. Samantha and Darrin have to decide whether to keep Franklin around for his scheduled court date in four weeks time, or send him back regardless. Aunt Clara may have some say in the matter. Fredd Wayne, who was starring in a live one-man show about Benjamin Franklin at the time, guest-stars and was listed as Historical Consultant.

Note: Filmed June 15, 1966; first episode filmed in color; DVD release does not include laugh track"
Bewitched,3,14,Samantha for the Defense (Part 2),William Asher,James S. Henerson,1966-12-15,"In Part 2, Aunt Clara is able to bring Benjamin Franklin back again so that he can stand trial. The district attorney (Mike Road) is determined to prosecute as he believes that ""Benjamin Franklin"" – or whoever he is in real life – is purely a publicity stunt developed by Darrin. Samantha, Darrin and Franklin have to figure out an appropriate defense strategy. Known for his eloquent speech, Franklin talking in his own words, may go a long way in helping his cause. A little Samantha witchcraft doesn't hurt either. Paul Sand appears as a reporter. Fredd Wayne guest-stars."
Bewitched,3,15,A Gazebo Never Forgets,R. Robert Rosenbaum,Jerry Devine & Izzy Elinson,1966-12-22,"Samantha and Tabitha go to a park, where they encounter a mother with her infant. They get into a bit of a scuffle because of Tabatha using witchcraft to take the other infant's stuffed pink polka elephant. Meanwhile, Samantha applies for a bank loan for home improvements. A nosy bank loan investigator named Hawkins (Steve Franken) comes snooping around the Stephenses' home only to see a real pink polka-dotted elephant that Aunt Clara mistakenly conjured up for Tabitha. Aunt Clara can only reverse the spell if she has the actual stuffed elephant from the park. Samantha must figure out a way to get rid of the elephant and save the bank loan. Paul Reed appears as Leon Scranton, the bank president.

Note: Filmed October 19, 1966. First of 14 episodes that Dick York does not appear in."
Bewitched,3,16,Soap Box Derby,Alan Jay Factor,James S. Henerson,1966-12-29,"Samantha helps 12-year-old Johnny Mills (Michael Shea) participate in a soap box derby race. Gladys Kravitz is furious when her nephew loses the derby and suspects magical interference. Samantha tries to get the boy's uninterested father (William Bramley) to come to his son's defense.

Note: Filmed September 23, 1966."
Bewitched,3,17,Sam in the Moon,R. Robert Rosenbaum,James S. Henerson,1967-01-05,"Endora takes Samantha shopping for ""warlock tea"" in Tokyo one afternoon when she is supposedly cleaning the house. Samantha and Darrin later argue about her whereabouts, and she flippantly states she had been to the Moon. Darrin starts to believe her and even has the tea analyzed, thinking it might be Moon dust.

Note: Filmed November 17, 1966."
Bewitched,3,18,Ho Ho the Clown,William Asher,Richard Baer,1967-01-12,"Samantha and Endora take Tabitha to a taping of the ""Ho Ho the Clown Show"", where the titular entertainer (Joey Forman) awards gifts to children in the audience. Solow Toys, a client of Darrin's, sponsors the show, which makes Tabitha ineligible to win any prizes. That displeases Endora and makes her enchant Ho Ho to give prizes to her grandchild anyway. Endora also put a spell on Ho Ho to make Tabitha the one and only person for whom he will do the show. Then there's the inevitable problem of implied fraud when Solow finds out that Tabitha is Darrin's daughter. Sam and Darrin come up with the idea that it was all a publicity stunt for a new doll that looks like Tabitha. Dick Wilson appears as Mr. Solow.

Note: Filmed November 11, 1966."
Bewitched,3,19,Super Car,William Asher,Ed Jurist,1967-01-19,"Endora conjures up the Reactor Mach II car, a futuristic prototype, as a gift for Darrin. His pleasure becomes shock when he realizes Endora zapped the car out of its research lab in Detroit rather than making a copy. He tries to make Endora zap the car back before he's charged with theft. Convincing her to do so may be difficult as Endora is now angry at Darrin's ingratitude. Larry and one of McMann and Tate's clients, Mr. Sheldrake, come over to see the car. Endora agrees to send the car back, but does so with Sheldrake inside of it. Meanwhile, Joe (Dave Madden) and Charlie (Herb Ellis), the car's two confused designers, try to figure out what happened to the car.

Note: Filmed November 23, 1966. The car was later featured as Catwoman's ""Kitty Car"" in an episode of Batman, and as the Jupiter 8 in an episode of Star Trek.[5]"
Bewitched,3,20,The Corn Is as High as a Guernsey's Eye,William Asher,Ruth Brooks Flippen,1967-01-26,"Samantha thinks that Aunt Clara, who had been feeling down, has turned herself into a cow when they visit Darrin's office building for a lunch date. The cow is actually being used as publicity for the Morton Dairy account by the Whittle Agency, a rival advertising agency. While Samantha zaps what she believes is Aunt Clara home and tries to convince her to change back into a witch, Whittle, Morton and the authorities try to locate Ginger the cow. After Darrin calls Sam and tells her what's going on, she manages to bring the cow back before things get out of hand. Howard Smith appears as C.L. Morton.

Note: Filmed December 5, 1966. Episode title is a paraphrase of a line from the song ""Oh What a Beautiful Mornin'"" from Oklahoma!—""The corn is as high as an elephant's eye."""
Bewitched,3,21,The Trial and Error of Aunt Clara,William Asher,Ed Jurist,1967-02-02,"The Witches Council puts Clara on trial for incompetency. The Stevens' house is turned into a courtroom so Samantha can defend Aunt Clara against coven Judge Bean (Arthur Malet) who wants her banished to earthbound mortality. Darrin, however, may unwittingly come up with the best defense. Ottola Nesmith appears as Aunt Enchantra. Nancy Andrews appears as Aunt Hagatha.

Note: Filmed December 9, 1966."
Bewitched,3,22,Three Wishes,William Asher,Robert Riley Crutcher,1967-02-09,"To prove what Endora believes are Darrin's lecherous intentions, she grants him three wishes without his knowledge. Darrin has to go on a business trip to Honolulu. But when plans change and he doesn't have to go, Samantha believes this first wish bodes well for proving Endora wrong. However, Darrin has to take a blonde model named Buffy (Linda Gaye Scott) to Boston. When a freak snowstorm keeps Darrin there, it could prove that Endora is right. Darrin is able to prove he did nothing wrong when he shows Samantha he still can make wishes.

Note: Filmed December 16, 1966; partial remake of ""Double Tate"" from Season 2."
Bewitched,3,23,I Remember You...Sometimes,William Asher,David V. Robison & John L. Greene,1967-02-16,"Darrin would like to improve his memory. Endora casts a spell on his watch giving its wearer perfect memory. What happens is that perfect memory Darrin comes across as a know-it-all to anyone around him. But Darrin's know-it-all attitude irks important client Ed Pennybaker (Dan Tobin) even more. Pennybaker likes to think of himself as an authority on any and every subject. Samantha has to figure out what has caused this change in Darrin and hopefully rectify it.

Note: Filmed December 22, 1966."
Bewitched,3,24,Art for Sam's Sake,William Asher,Jack Sher,1967-02-23,"Unimpressed by Samantha's amateur painting for an exhibit in a university charity event, Endora exchanges the painting with a famous Henri Monchet original and signs Samantha's name to it. Samantha learns what her mother has done when her painting is revealed as the winning entry in the competition. Darrin's client perfumer Mr. Cunningham (Arthur Julian) notices the painting and purchases it on the spot at auction. Samantha has to find a way to get the painting from him before the painting magically disappears.

Note: Filmed January 9, 1967."
Bewitched,3,25,"Charlie Harper, Winner",R. Robert Rosenbaum,Earl Barret,1967-03-02,"Samantha and Darrin are hosting a dinner party for Darrin's old college friend, the overachieving Charlie Harper (Angus Duncan). Daphne (Joanna Moore), Charlie's wife, is slyly but still obviously condescending toward both Darrin and Samantha. The Stephenses accept Charlie's last minute invitation to spend the weekend at one of their resort homes with a group of their wealthy and important friends. To show Daphne that Darrin is successful, Sam conjures up a special mink coat that Daphne falls in love with and must have. But it's an action by Samantha that has an unexpected affect both on the Stephenses' and Harper's marriages.

Note: Filmed January 19, 1967."
Bewitched,3,26,Aunt Clara's Victoria Victory,William Asher,Robert Riley Crutcher,67-03-09) ,"While reminiscing about the Victorian era, Aunt Clara accidentally makes Queen Victoria (Jane Connell) appear. The Queen's arrival is bad timing for Samantha as Mr. Morgan (Robert H. Harris), a potential client for Darrin, wants to stop by to meet Samantha while Darrin is out of town on a business trip. Mr. Morgan, being a bit of a tyrant himself, gets told off by Larry. Samantha causes Mr. Morgan to dream that he is Queen Victoria and he comes to realize how dictatorial he can be. He apologizes to Larry and gives Larry his account.

Note: Filmed January 25, 1967. Dick York does not appear."
Bewitched,3,27,The Crone of Cawdor,R. Robert Rosenbaum,Ed Jurist,1967-03-16,"Darrin is working with Miss Terry Warbell (Julie Gregg), who is the beautiful young daughter of one of Darrin's clients. In spying on Darrin and Terry, Endora finds something rather odd about her. Meanwhile, an elderly, confused woman arrives at the Kravitz's house. Mrs. Kravitz calls Samantha and she and Endora learn that the elderly woman is the real Miss Warbell. Samantha and Endora surmise that the young woman with Darrin is really the 500-year-old Crone of Cawdor (Dorothy Neumann). The Crone's mission is to be kissed by a mortal before the end of 12 hours, in order to switch ages with the kisser permanently, meaning that if Darrin kisses her, he'll turn 500 years old. Samantha rescues Darrin before the clock strikes 6 PM when Miss Warbell's and The Crone's bodies switch back.

Note: Filmed January 31, 1967."
Bewitched,3,28,No More Mr. Nice Guy,William Asher,Jack Sher,1967-03-23,"Endora casts a spell which makes people take an instant dislike to Darrin. This spell causes problems for Darrin and some clients, who refuse to work with him. Larry suggests that Darrin go see a psychiatrist (George Ives). When Samantha finds out what's going on with Darrin, she immediately knows it's her mother's doing. Endora eventually removes the spell, but without Darrin's knowledge. But Darrin's new extremely accommodating personality in trying to win back the clients may do more damage than Endora's spell. Larry D. Mann appears as Horace Baldwin. Judson Pratt appears as Frank Eastwood.

Note: Filmed February 13, 1967."
Bewitched,3,29,It's Wishcraft,Paul Davis,James S. Henerson,1967-03-30,"Darrin is worried about his parents' impending visit because it's the first since Tabatha started using witchcraft. Tabatha is at a stage called ""wishcraft"" where anyone she wishes to be near her will automatically appear, and it's Darrin more often than not. Samantha enlists Endora's help to hide the effects from the visiting mortals, but trouble only escalates when the two grandmothers lock horns.

Note: Filmed February 20, 1967."
Bewitched,3,30,How to Fail in Business with All Kinds of Help,Richard Kinon,Ron Friedman,1967-04-06,"Darrin taking Samantha on a vacation to Bermuda is dependent upon the success of his latest campaign for Madame Maruska lipstick. Endora decides to give Darrin a little helping hand by placing a spell on Madame Maruska's account representative, Arch Wilkerson (Henry Beckman), who sees Darrin as the driving force behind the brilliant campaign. Darrin is excited by Wilkerson's reaction, until he learns it was all Endora's doing. When Madame Maruska (Lisa Kirk) comes to the office gushing about Darrin, he believes that Endora is masquerading as Madame Maruska herself. He kicks her out of the office. When Darrin learns that Endora had nothing to do with Madame Marsuka coming to see him, he has to figure out a way to regain her account.

Note: Filmed February 27, 1967."
Bewitched,3,31,"Bewitched, Bothered, and Infuriated",R. Robert Rosenbaum,Howard Leeds,1967-04-13,"Aunt Clara zaps up a newspaper with the next day's date to get the racing scores, but also notices an article stating Larry Tate broke his leg. To prevent the accident from happening, Darrin and Samantha go to the resort where Larry and Louise are on their second honeymoon, and make absolute pests of themselves in the attempt. It turns out Aunt Clara zapped up a paper from ten years ago when Larry broke his leg on their first honeymoon.

Note: This would be reworked as the I Dream of Jeannie episode ""Tomorrow Is Not Another Day"", with the additional element of the horse-racing aspect Aunt Clara mentioned being expanded upon. Filmed February 7, 1967."
Bewitched,3,32,Nobody but a Frog Knows How to Live,Richard Kinon,Ruth Brooks Flippen,1967-04-27,"Fergus F. Finglehoff (John Fiedler), a frog in human form, pesters Samantha into changing him back so he can be with his frog girlfriend Phoebe (Corinne Camacho) once again. The problem is Samantha doesn't have the power to undo another witch's spell. He tries to blackmail her, as he threatens to tell all her neighbors that she's a witch if she doesn't help. The farcical situation causes much havoc with Mrs. Kravitz, Larry, and a drinking obsessed client (Dan Tobin). In the end, Samantha is able to help Fergus.

Note: Filmed March 14, 1967."
Bewitched,3,33,There's Gold in Them Thar Pills,R. Robert Rosenbaum,Paul Wayne and Ed Jurist,1967-05-04,"Samantha asks her mother to call a doctor for Darrin, who is in bed with a cold. Endora summons witch doctor Dr. Bombay (Bernard Fox), who gives Darrin pills that instantly cure the common cold. Darrin and Larry try to get Doctor Bombay to market his magical miracle cold cure with their pharmaceutical client, Mr. Hornbeck (Milton Frome). When Samantha finds out what's going on, she becomes worried about marketing a pill created by witchcraft. Also, there may be unexpected side effects.

Note: Filmed March 21, 1967; first of 19 appearances of Bernard Fox as Dr. Bombay."
Bewitched,4,1,Long Live the Queen,William Asher,Ed Jurist,1967-09-07,"Queen of the Witches Ticheba (Ruth McDevitt) abdicates and appoints Samantha to succeed her. After an initial moment of surprise and honor, Samantha decides she cannot accept because of Darrin. But, realizing she really can't turn the position down, she tells Darrin that she will perform whatever duties are required after midnight so as to not interfere with her mortal life. When Darrin loses an account with a Mr. Rohrbach (J. Edward McKinley) because of a mix up with Sam's queenly duties, he insists she quit. After a period of reflection, Darrin tells Samantha that she can remain Queen. 

Note: Filmed July 27, 1967"
Bewitched,4,2,Toys in Babeland,William Asher,Ed Jurist,1967-09-14,"When Endora gets called away while baby-sitting Tabitha, she brings a toy soldier (Jim Brooks) to life in her stead. However, Tabitha imitates the spell, and soon every toy is life-size and marching around the house. Samantha and Darrin arrive home and see all of the life sized toys. Because of this they have to cancel a business dinner they were going to host for the Tates and an important client. However, suspicious Larry believes the dinner cancellation is a ploy for Darrin to steal the client and open his own agency. Larry comes by the house and sees the live dolls, the soldier in particular who he believes is a company employee that Darrin wants to steal for his own company. Samantha and Darrin have to convince Larry that nothing improper is happening while explaining the fact of the soldier.

Note: Filmed during Season 3 on March 6, 1967"
Bewitched,4,3,"Business, Italian Style",William Asher,Michael Morris,1967-09-21,"Endora places a spell on Darrin that makes him able to speak perfect Italian for new client Mr. Romani (Freddie Roberto), but unable to speak or understand English. This language issue not only causes the obvious problem of dealing with his English speaking colleagues - namely Larry - but also with the Romani account, as Mr. Romani may feel that Darrin's use of Italian is going overboard and thus mocking his own Italian roots.

Note: Filmed on June 8, 1967"
Bewitched,4,4,"Double, Double, Toil and Trouble",William Asher,Ed Jurist,1967-09-28,"Darrin makes Samantha, who is in the midst of performing her duties as Queen, end a royal session early. The following day, while Samantha is out all day doing volunteer work for the church bazaar, Endora and her friends enlist Serena's help to seek revenge. Serena passes herself off as Samantha and tries to drive Darrin away in hopes of ending the marriage. Because of Gladys Kravitz, the masquerade begins to unravel.

Note: Filmed August 11, 1967; title is from Act IV, Scene 1 of Macbeth; first Serena color episode."
Bewitched,4,5,"Cheap, Cheap",William Asher,Ed Jurist,1967-10-05,"When Darrin wants Samantha to return an expensive coat, Endora turns him into the most miserly person in the world. This pleases an equally cheap client Mr. Bigelow (Parley Baer), but it affects Darrin's work, especially with Larry, who wants to charge clients to the max. Samantha figures out that Darrin's recent cheapness is all Endora's doing. When the Bigelows and Tates come over for dinner Sam tries to put an extravagance spell on Darrin, but Mr. Bigelow gets it instead.

Note: Filmed June 26, 1967"
Bewitched,4,6,No Zip in My Zap,Richard Kinon,Barbara Avedon,1967-10-12,"Samantha has lost her powers. Dr. Bombay says she's temporarily lost them due to non-use of her witchcraft. To recover, Samantha has to do one of the basics of witchcraft, namely levitate or ""fly"". Meanwhile, Darrin learns that an account may be in jeopardy because the company's lawyer, Mary Jane Nilesmunster (Mala Powers) is an old girlfriend who vowed revenge on Darrin. When Mary Jane signs the deal Darrin believes that Sam had something to do with it.

Note: Filmed August 18, 1967"
Bewitched,4,7,"Birdies, Bogeys and Baxter",William Asher,David V. Robinson & John L. Greene,1967-10-19,"Endora and Samantha make Darrin an ace golfer, but his newfound skill infuriates competitive client Joe Baxter (MacDonald Carey). Joe's wife Margaret (Joan Banks) would like to see her bragging husband lose. Larry would like to see Darrin lose so they get Baxter's account.

Note: Filmed July 20, 1967; plot device of Darrin becoming an ace golfer was borrowed from the I Dream of Jeannie episode ""Watch the Birdie"" (February 26, 1966)."
Bewitched,4,8,The Safe and Sane Halloween,William Asher,James S. Henerson,1967-10-26,"In the show's fourth Halloween episode, Samantha reads a Halloween story to Tabitha to get her to sleep. The story contains a magical goblin (Felix Silla), gremlin (Jerry Maren) and Jack O'Lantern (Billy Curtis) which Tabitha zaps out of the book into real life. While out trick or treating Samantha and Tabatha run into the three new friends, who Samantha believes are just three mortal children. Mrs. Kravitz's nephew Tommy (Bobby Riha) gets mixed up in the ordeal when one of the ghouls turns him into a billygoat. Samantha has to get everything back to normal under the eyes of Larry and Louise, who are over for dinner.

Note: Filmed July 14, 1967"
Bewitched,4,9,"Out of Sync, Out of Mind",Richard Kinon,Ed Jurist,1967-11-02,"Darrin's mother stops by and says she has left Mr. Stephens as he continually accuses her of an overactive imagination. Aunt Clara also stops by. In trying to fix Darrin's home movie of Samantha and Tabitha where the picture and sound were out of sync, Aunt Clara fixes the problem, but also causes Samantha's own voice to be occasionally out of sync with the movement of her mouth. They call on Dr. Bombay, who cures the sync problem but leaves Sam with green stripes on her face. Roy Roberts appears as Frank Stephens. 

Note: Filmed August 24, 1967"
Bewitched,4,10,"That Was No Chick, That Was My Wife",William Asher,Rick Mittleman,1967-11-09,"Samantha pops home from Chicago and is unexpectedly seen by Louise. When word of the sighting gets back to Darrin's husband-and-wife clients, The Springers (Herb Voland and Sara Seegar) having lunch with Darrin in Chicago, he thinks Darrin's date is a mistress. Mr. Springer decides to drop McMann & Tate unless Darrin is fired. Samantha and Darrin don't know what to do as they don't want to accuse Louise of being a liar, yet they can't prove to an incensed Springer that she really is Darrin's wife. They need a little luck to get them out of this situation.

Note: Filmed August 31, 1967"
Bewitched,4,11,Allergic to Macedonian Dodo Birds,Richard Kinon,Richard Baer,1967-11-16,"Endora's magic is transferred to Aunt Clara due to an allergic reaction to a Macedonian dodo bird (Janos Prohaska). Dr. Bombay says he can cure Endora, but he needs a feather from the bird. It turns out that Tabitha conjured up the bird in her room.

Note: Filmed September 14, 1967"
Bewitched,4,12,Samantha's Thanksgiving to Remember,Richard Kinon,Alfred Lewis Levitt & Helen Levitt (Credited as Tom and Helen August),1967-11-23,"Aunt Clara accidentally sends herself, Darrin, Samantha, Tabitha and Gladys Kravitz to 17th century Plymouth, Massachusetts. Luckily Gladys Kravitz believes it's all a dream. As Aunt Clara tries to remember the incantation to get them back, the others get caught up in celebrating the first Thanksgiving with the likes of Miles Standish and John Alden (Richard Bull). Darrin is concerned about the anti-witch talk among some of the men. But it is Darrin who is accused of being a warlock and put on trial. Samantha defends Darrin until Aunt Clara can zap them back. Jacques Aubuchon appears as Phineas.

Note: Filmed September 21, 1967"
Bewitched,4,13,Solid Gold Mother-in-Law,R. Robert Rosenbaum,Robert Riley Crutcher,1967-11-30,"Darrin and Endora have another fight. Endora then puts an indestructible photograph of herself on his desk at work. When potential new client Mr. Gregson (Jack Collins) sees the picture he figures that if Darrin has a photograph of his mother-in-law on his desk, he must have the perfect American home. Mr. Gregson offers Darrin an agency of his own causing a rift between Larry and Darrin. With Samantha's help, Larry and Darrin are friends again and they win the Gregson account.

Note: Filmed September 8, 1967. Mr. Gregson is listed as Mr. Hudson in the credits."
Bewitched,4,14,"My, What Big Ears You Have",Richard Kinon,Ed Jurist,1967-12-07,"Darrin is on the telephone with Alice Swanton (Joan Hotchkis), an antiques dealer, about a rocking chair he wants to buy for Samantha as a surprise. Endora believes he's cheating on Samantha. Endora places a spell on Darrin, making his ears grow every time he tells a lie. As the day wears on, Darrin gets caught in one lie after another all concerning the rocking chair. Samantha feels terrible when Darrin has to explain the lies and ruin his surprise. Thomas Browne Henry appears as potential client Mr. Grayson.

Note: Filmed September 28, 1967"
Bewitched,4,15,"I Get Your Nannie, You Get My Goat",William Asher,Ron Friedman,1967-12-14,"Samantha's childhood English nanny, Elspeth (Hermione Baddeley), babysits Tabitha. This does not sit well with Endora and Elspeth's former employer, Lord Clive Montdrako (Reginald Gardiner), who wants her back. Montdrako, believing Darrin is not man enough to admit he stole Elspeth, plays a series of pranks on him. Samantha figures out a way to please Montdrako and allow Elspeth to stay.

Note: Filmed July 15, 1967"
Bewitched,4,16,Humbug Not to Be Spoken Here,William Asher,Lila Garrett & Bernie Kahn,1967-12-21,"Prospective client Jessie Mortimer (Charles Lane) insists on working on Christmas Eve, but Darrin refuses. So Mortimer decides to pull his account. Samantha tries to reform the modern-day Scrooge with a visit to Santa's workshop. After some time with Samantha and Santa, Mortimer has a change of heart about the holidays. Don Beddoe appears as Santa Claus.

Note: Filmed October 5, 1967"
Bewitched,4,17,Samantha's Da Vinci Dilemma,Richard Kinon,Jerry Mayer & Paul L. Friedman,1967-12-28,"When Aunt Clara tries to conjures up a house painter to help Samantha, she actually gets Leonardo da Vinci (John Abbott). Samantha and Aunt Clara have a bigger problem when Leonardo decides to explore the town without telling them. One of Darrin's clients, J.P. Pritchfield, wants to use the Mona Lisa as the centerpiece of a new campaign for his toothpaste. Both Darrin and Leonardo hate the idea. With Leonardo's help, Darrin presents a better idea.

Note: Filmed October 20, 1967"
Bewitched,4,18,Once in a Vial,Bruce Bilson,Story by : James S. HenersonTeleplay by : James S. Henerson & Ed Jurist,1968-01-04,"Endora summons Samantha's former boyfriend Rollo (Ron Randell) to try drive a wedge between her and Darrin. At a dinner party for client Bo Callahan (Arch Johnson), chaos ensues when Endora and another guest (Henry Beckman) accidentally drink a love potion Rollo had intended for Samantha. Despite originally thinking Callahan gauche, Endora, because of the potion, comes very close to marrying him.

Note: Filmed November 9, 1967"
Bewitched,4,19,Snob in the Grass,R. Robert Rosenbaum,Ed Jurist,1968-01-11,"Larry wants Darrin to meet up with former girlfriend Sheila Sommers (Nancy Kovack) to gain a new account with her father (Frank Wilcox). When Samantha finds out about Darrin reconnecting with Sheila, even if it is solely for business, she is initially angry. She then learns that the Sommers have invited them for a social dinner party which will allow them to talk business.

Note: Filmed July 10, 1967"
Bewitched,4,20,If They Never Met,R. Robert Rosenbaum,Bill Idelson & Sam Bobrick,1968-01-25,"After being harassed by his mother-in-law, Darrin makes an off-hand remark about never having met his wife. Endora makes Darrin disappear, and she and Samantha visit an alternate universe where Darrin is about to be made a partner by McMann & Tate, and marry Sheila Sommers (Nancy Kovack). Sam then tries to prove to her mother that even though he is seemingly happier than ever, that he is miserable underneath.

Notes: Filmed June 20, 1967"
Bewitched,4,21,"Hippie, Hippie, Hooray",William Asher,Michael Morris,1968-02-01,"Cousin Serena has become a hippie and is arrested at a love-in, which makes the front page of the newspaper. Larry and Louise think that it is Samantha in the photograph. Serena pretends to be ""hippie"" Samantha in front of Darrin, Larry and conservative client Mr. Giddings (Walter Sande). The only way that Darrin can prove to Larry that the woman he saw was Serena is to provide both Samantha and Serena together. An apology from Darrin helps that happen.

Note: Filmed October 12, 1967. Samantha (as Serena) sings ""The Iffen Song"", which is also played during the end credits. The Tates' kitchen is the kitchen set from I Dream Of Jeannie."
Bewitched,4,22,A Prince of a Guy,R. Robert Rosenbaum,Ed Jurist,1968-02-08,"While Darrin is on a business trip, Samantha is having a dinner party with the Tates, Darrin's cousin Helen, and Helen's current boyfriend Ralph (Stuart Margolin). Tabitha zaps Prince Charming (William Bassett) out of her Sleeping Beauty storybook, and he pretends to be Samantha's cousin, Charlie at the dinner party. His presence causes problems as naturally charming ""Charlie"" makes all the women swoon. Larry sees dollar figures as he believes Charlie would be perfect for an advertising campaign. Beyond getting Charlie back into the book, Samantha has to deal with both the issue of Larry's campaign wants, and Helen's husband's wants.

Note: Filmed December 11, 1967. Dick York does not appear."
Bewitched,4,23,McTavish,Paul Davis,James S. Henerson,1968-02-15,"Samantha is asked to persuade a ghost, McTavish (Ronald Long), to leave Aunt Clara's boyfriend's old castle in England. Ockie has just purchased the castle and has opened it up for public tours and as a hotel. But trouble starts when Samantha runs into Darrin's parents, who are coincidentally visiting the castle. Sam is able to convince McTavish to move to more comfortable quarters, but McTavish chooses Samantha and Darrin's house. Samantha has to get rid of McTavish before Darrin's parents arrive, who want to see that Samantha is indeed at home as Darrin has told them and not in England.

Note: Filmed October 27, 1967"
Bewitched,4,24,How Green Was My Grass,R. Robert Rosenbaum,Ed Jurist,1968-02-29,"When an artificial lawn is mistakenly installed in the Stephenses' yard, Darrin thinks Samantha zapped it there. After an argument, she zaps it away and Endora removes her ability to bring it back. But more trouble ensues when the artificial lawn company and belligerent neighbor Bill MacLane (Richard X. Slattery) want it back. Barbara Perry appears as Mrs. MacLane.

Note: Filmed November 2, 1967. The Stephenses' house number is changed from 1164 to 192."
